id,mo,day,yr,time,rookery,rkname,island,sex,wgt,tagmark,tagno,sheared,tagged,handled,plen
176,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
177,8,30,1957,1400,12,ZAR,1,M,8.8,U,0     N,N,N,N,
178,8,30,1957,1400,12,ZAR,1,M,8.5,F,0     N,N,N,N,
179,8,30,1957,1400,12,ZAR,1,M,9.1,U,0     N,N,N,N,
180,8,30,1957,1400,12,ZAR,1,M,9.8,F,0     N,N,N,N,
181,8,30,1957,1400,12,ZAR,1,M,8.3,U,0     N,N,N,N,
182,8,30,1957,1400,12,ZAR,1,M,11.8,F,0     N,N,N,N,
183,8,30,1957,1400,12,ZAR,1,M,8.1,U,0     N,N,N,N,
184,8,30,1957,1400,12,ZAR,1,M,8.8,F,0     N,N,N,N,
185,8,30,1957,1400,12,ZAR,1,M,6.7,U,0     N,N,N,N,
186,8,30,1957,1400,12,ZAR,1,M,10.5,F,0     N,N,N,N,
187,8,30,1957,1400,12,ZAR,1,M,6.6,U,0     N,N,N,N,
188,8,30,1957,1400,12,ZAR,1,M,7.9,F,0     N,N,N,N,
189,8,30,1957,1400,12,ZAR,1,M,5,U,0     N,N,N,N,
190,8,30,1957,1400,12,ZAR,1,M,6.7,F,0     N,N,N,N,
191,8,30,1957,1400,12,ZAR,1,M,8.7,U,0     N,N,N,N,
192,8,30,1957,1400,12,ZAR,1,M,9.8,F,0     N,N,N,N,
193,8,30,1957,1400,12,ZAR,1,M,6.8,U,0     N,N,N,N,
194,8,30,1957,1400,12,ZAR,1,M,7.1,F,0     N,N,N,N,
195,8,30,1957,1400,12,ZAR,1,M,9.1,U,0     N,N,N,N,
196,8,30,1957,1400,12,ZAR,1,M,8.4,F,0     N,N,N,N,
197,8,30,1957,1400,12,ZAR,1,M,9.1,U,0     N,N,N,N,
198,8,30,1957,1400,12,ZAR,1,M,7.7,F,0     N,N,N,N,
199,8,30,1957,1400,12,ZAR,1,M,6.9,U,0     N,N,N,N,
200,8,30,1957,1400,12,ZAR,1,M,8.6,F,0     N,N,N,N,
201,8,30,1957,1400,12,ZAR,1,M,10.7,U,0     N,N,N,N,
202,8,30,1957,1400,12,ZAR,1,M,9.2,F,0     N,N,N,N,
203,8,30,1957,1400,12,ZAR,1,M,5.6,U,0     N,N,N,N,
204,8,30,1957,1400,12,ZAR,1,M,7.1,F,0     N,N,N,N,
205,8,30,1957,1400,12,ZAR,1,M,8.8,U,0     N,N,N,N,
206,8,30,1957,1400,12,ZAR,1,M,7.2,F,0     N,N,N,N,
207,8,30,1957,1400,12,ZAR,1,M,9.3,U,0     N,N,N,N,
208,8,30,1957,1400,12,ZAR,1,M,11.9,F,0     N,N,N,N,
209,8,30,1957,1400,12,ZAR,1,M,11.3,U,0     N,N,N,N,
210,8,30,1957,1400,12,ZAR,1,M,8.7,F,0     N,N,N,N,
211,8,30,1957,1400,12,ZAR,1,M,5.9,U,0     N,N,N,N,
212,8,30,1957,1400,12,ZAR,1,M,7.2,F,0     N,N,N,N,
213,8,30,1957,1400,12,ZAR,1,M,9.9,U,0     N,N,N,N,
214,8,30,1957,1400,12,ZAR,1,M,7.8,F,0     N,N,N,N,
215,8,30,1957,1400,12,ZAR,1,M,9,U,0     N,N,N,N,
216,8,30,1957,1400,12,ZAR,1,M,6.5,F,0     N,N,N,N,
217,8,30,1957,1400,12,ZAR,1,M,12.3,U,0     N,N,N,N,
218,8,30,1957,1400,12,ZAR,1,M,6.6,F,0     N,N,N,N,
219,8,30,1957,1400,12,ZAR,1,M,5.8,U,0     N,N,N,N,
220,8,30,1957,1400,12,ZAR,1,M,11.5,F,0     N,N,N,N,
221,8,30,1957,1400,12,ZAR,1,M,6.6,U,0     N,N,N,N,
222,8,30,1957,1400,12,ZAR,1,M,10.2,F,0     N,N,N,N,
223,8,30,1957,1400,12,ZAR,1,M,8.4,U,0     N,N,N,N,
224,8,30,1957,1400,12,ZAR,1,M,7.8,F,0     N,N,N,N,
225,8,30,1957,1400,12,ZAR,1,M,8.9,U,0     N,N,N,N,
226,8,30,1957,1400,12,ZAR,1,M,11.4,F,0     N,N,N,N,
227,8,30,1957,1400,12,ZAR,1,M,7.1,U,0     N,N,N,N,
228,8,30,1957,1400,12,ZAR,1,M,6.6,F,0     N,N,N,N,
229,8,30,1957,1400,12,ZAR,1,M,6.2,U,0     N,N,N,N,
230,8,30,1957,1400,12,ZAR,1,M,8,F,0     N,N,N,N,
231,8,30,1957,1400,12,ZAR,1,M,9.6,U,0     N,N,N,N,
232,8,30,1957,1400,12,ZAR,1,M,12.5,F,0     N,N,N,N,
233,8,30,1957,1400,12,ZAR,1,M,7.8,U,0     N,N,N,N,
